wl,IR
1.699999899190006,11.975
1.6999796694331395,11.924155848629665
1.6999594401577298,11.93355719270967
1.699939211363759,11.914108707421427
1.6999160933315745,11.764979893217502
1.6998958655692025,11.917077559533354
1.6998756382882163,11.949065276193817
1.6998554114885975,11.948510447014646
1.6998322957355854,11.877404501108858
1.6998120699674129,11.924400827441037
1.6997918446805547,11.920542461233046
1.6997716198749937,11.939165390348426
1.6997485064008169,11.955975671769528
1.6997282826265492,11.933857994094822
1.6997080593335245,11.946610037490611
1.6996878365217258,11.947750282666599
1.6996647253260475,11.929454172160384
1.6996445035453898,11.956336317121659
1.6996242822459036,11.952729791465764
1.6996011727785165,11.94974262776292
1.6995809525100558,11.959425620171935
1.699560732722713,11.961946023573066
1.699540513416471,11.951291608195852
1.69951740622699,11.933295800445672
1.6994971879516207,11.958722317063913
1.699476970157298,11.962134505782442
1.6994567528440057,11.967368838138906
1.6994336479320937,11.960553311821041
1.6994134316495213,11.966079856892927
1.6993932158479246,11.952403510166166
1.6993730005272865,11.964647203047882
1.6993498978926072,11.967674693365415
1.6993296836025371,11.970131754181372
1.6993094697933717,11.970478981659292
1.6992892564650934,11.968856936572417
1.69926615610731,11.96312019976881
1.6992459438094474,11.95470860029352
1.6992257319924189,11.941105698409984
1.6992026333617105,11.956929360703558
1.6991824225749816,11.968917854835292
1.6991622122690322,11.970311666287222
1.6991420024438453,11.970172014577628
1.6991189060894414,11.967927881591411
1.6990986972944022,11.96428803709941
1.6990784889800719,11.956223755770628
1.6990582811464325,11.964041626967235
1.699035187067996,11.969746655879677
1.6990149802643524,11.969193161317845
1.6989947739413462,11.961789429564678
1.6989745680989603,11.93577418871511
1.698951476296155,11.910417884541463
1.6989312714836124,11.878566249073703
1.698911067151636,11.858009971781367
1.6988908633002093,11.839753932002079
1.698867773772699,11.79676044702358
1.6988475709509632,11.766825601981875
1.6988273686097224,11.776162650028807
1.6988042808080739,11.75205894421075
1.6987840794964084,11.724062002480425
1.6987638786651853,11.704707153542303
1.6987436783143863,11.67284612147026
1.6987205927874411,11.659814729773386
1.6987003934660652,11.637662966077002
1.6986801946250603,11.613521185563682
1.6986599962644093,11.579276179069549
1.6986369130118304,11.538905118975194
1.6986167156804501,11.523770196022712
1.6985965188293697,11.49429572139987
1.698576322458572,11.490880203107677
1.6985532414800242,11.453806152045114
1.6985330461383452,11.418255319073205
1.698512851276895,11.417426228067534
1.6984926568956562,11.399880407747245
1.6984695781908041,11.367429136737954
1.6984493848385325,11.342870143303468
1.6984291919664185,11.323445341032878
1.6984061149862142,11.3001791382403
1.698385923142952,11.27130866429099
1.6983657317797936,11.24445389449701
1.698345540896722,11.221512058526587
1.6983224661896221,11.173891273741388
1.6983022763352502,11.147096207296267
1.6982820869609114,11.14233943356717
1.698261898066588,11.10450837296191
1.698238825632257,11.066429617626468
1.6982186377664814,11.072749085695712
1.6981984503806682,11.053053830727826
1.6981782634747995,11.032863111553292
1.6981551933129018,11.006744699983315
1.6981350074354284,10.976833646340696
1.6981148220378468,10.951686255412113
1.6980917535996392,10.880440687412898
1.6980715692303383,10.8193562315038
1.6980513853408743,10.875048406155056
1.6980312019312307,10.86535233670639
1.6980081357648655,10.84265425485932
1.6979879533833504,10.818723793453215
1.697967771481602,10.803131376980472
1.697947590059603,10.799390390123012
1.6979245261647447,10.791992055797822
1.697904345770722,10.782059500652172
1.6978841658563952,10.794462676299766
1.697863986421747,10.800707011885082
1.6978409247980601,10.803792734225793
1.6978207463912365,10.804925222626979
1.697800568464038,10.805362691824449
1.697780391016447,10.80630158244648
1.6977573316635957,10.80683437157027
1.697737155243678,10.8029618609565
1.697716979303314,10.794518891558607
1.697693921672942,10.79592287269828
1.697673746760136,10.800098981505341
1.6976535723268302,10.801702508740764
1.6976333983730076,10.802156128657856
1.6976103430128817,10.800853687436856
1.697590170086465,10.799993493698347
1.697569997639478,10.799607253738182
1.697549825671903,10.79518161466585
1.6975267725816883,10.782625802098272
1.697506601641368,10.725212933196977
1.6974864311804059,10.41097052948782
1.6974662611987854,10.724905595324822
1.697443210378146,10.763590274277254
1.6974230414236289,10.728872276745289
1.6974028729483985,10.559222591746456
1.6973827049524395,10.48469718648336
1.6973596564010407,10.516909088595277
1.6973394894320324,10.564289543590016
1.6973193229422414,10.579337766381661
1.697296276112112,10.587271616339999
1.697276110649157,10.480434742611717
1.697255945665365,10.73063318665463
1.69723578116072,10.778969881264485
1.6972127365992415,10.783874501128173
1.6971925731212807,10.792121732581913
1.6971724101224122,10.798670196855374
1.6971522476026193,10.798343608201435
1.6971292053094573,10.798163597560622
1.697109043816197,10.803491341665385
1.697088882801959,10.804559106065257
1.6970687222667258,10.801561255960474
1.697045682241545,10.798463632798041
1.6970255227326927,10.803575527576925
1.697005363702792,10.802404872183414
1.6969852051518253,10.801098363580032
1.696962167394291,10.796298185548949
1.6969420098695538,10.792574610768513
1.6969218528236971,10.800405837320554
1.6968988167862233,10.800256458646388
1.6968786607664816,10.791204037069923
1.696858505225567,10.783179728404834
1.6968383501634612,10.806125315347854
1.6968153163930453,10.797482011805148
1.6967951623569035,10.801133903528468
1.6967750087995181,10.801138232715438
1.696754855720871,10.806650107855619
1.696731824217178,10.81674309725999
1.6967116721643434,10.815089305641617
1.696691520590194,10.796136460276378
1.696671369494713,10.78394344104516
1.696648340257409,10.812151079368535
1.6966281901875886,10.822919843092459
1.6966080405963828,10.82448568344555
1.696585013078185,10.824027991768569
1.696564864512525,10.826615278484951
1.6965447164254264,10.821094363127347
1.6965245688168717,10.793066593358732
