T,v
4.240160e+03,7.772280e-01
4.240170e+03,8.423430e-01
4.240180e+03,8.879230e-01
4.240190e+03,9.181800e-01
4.240210e+03,9.522970e-01
4.240250e+03,9.787050e-01
4.240390e+03,9.955780e-01
4.244040e+03,9.947130e-01
4.244160e+03,9.764580e-01
4.244190e+03,9.559440e-01
4.244210e+03,9.248850e-01
4.244220e+03,8.976230e-01
4.244230e+03,8.570190e-01
4.244250e+03,7.348210e-01
4.244260e+03,6.955370e-01
4.244270e+03,7.144790e-01
4.244290e+03,8.372930e-01
4.244300e+03,8.840740e-01
4.244310e+03,9.158240e-01
4.244330e+03,9.516600e-01
4.244370e+03,9.789110e-01
4.244510e+03,9.957500e-01
4.248110e+03,9.947060e-01
4.248220e+03,9.772840e-01
4.248250e+03,9.560720e-01
4.248270e+03,9.230630e-01
4.248280e+03,8.941400e-01
4.248290e+03,8.527370e-01
4.248310e+03,7.585380e-01
4.248320e+03,7.551400e-01
4.248330e+03,7.939610e-01
4.248350e+03,8.891270e-01
4.248370e+03,9.403400e-01
4.248400e+03,9.714370e-01
4.248480e+03,9.918130e-01
4.249560e+03,9.998150e-01
4.252140e+03,9.934910e-01
4.252220e+03,9.768080e-01
4.252250e+03,9.507480e-01
4.252270e+03,9.085400e-01
4.252290e+03,8.404510e-01
4.252300e+03,8.228090e-01
4.252310e+03,8.364130e-01
4.252330e+03,9.043240e-01
4.252350e+03,9.486950e-01
4.252380e+03,9.760890e-01
4.252470e+03,9.941550e-01
4.256020e+03,9.975250e-01
4.256140e+03,9.856260e-01
4.256180e+03,9.577980e-01
4.256210e+03,9.108220e-01
4.256220e+03,9.098940e-01
4.256260e+03,9.676860e-01
4.256310e+03,9.902580e-01
4.256720e+03,9.996080e-01
4.263700e+03,9.948900e-01
4.263770e+03,9.815500e-01
4.263800e+03,9.574180e-01
4.263830e+03,9.086620e-01
4.263840e+03,9.064350e-01
4.263880e+03,9.658070e-01
4.263930e+03,9.897680e-01
4.264300e+03,9.995100e-01
4.267370e+03,9.938340e-01
4.267460e+03,9.751650e-01
4.267490e+03,9.472580e-01
4.267510e+03,9.021710e-01
4.267530e+03,8.301070e-01
4.267540e+03,8.119030e-01
4.267550e+03,8.266680e-01
4.267570e+03,8.985600e-01
4.267590e+03,9.454930e-01
4.267620e+03,9.745430e-01
4.267710e+03,9.937560e-01
4.270740e+03,9.986290e-01
4.271040e+03,9.867940e-01
4.271100e+03,9.613260e-01
4.271120e+03,9.356690e-01
4.271130e+03,9.136680e-01
4.271140e+03,8.812920e-01
4.271150e+03,8.353270e-01
4.271160e+03,7.791660e-01
4.271170e+03,7.346220e-01
4.271180e+03,7.336690e-01
4.271190e+03,7.771270e-01
4.271210e+03,8.798600e-01
4.271220e+03,9.126890e-01
4.271240e+03,9.502870e-01
4.271280e+03,9.787010e-01
4.271420e+03,9.958070e-01
4.274510e+03,9.942810e-01
4.274630e+03,9.762140e-01
4.274670e+03,9.460020e-01
4.274690e+03,9.067410e-01
4.274700e+03,8.722090e-01
4.274710e+03,8.214660e-01
4.274730e+03,6.850130e-01
4.274740e+03,6.582920e-01
4.274750e+03,6.959240e-01
4.274770e+03,8.322630e-01
4.274780e+03,8.796760e-01
4.274790e+03,9.117580e-01
4.274810e+03,9.483860e-01
4.274850e+03,9.769490e-01
4.274980e+03,9.948140e-01
4.277980e+03,9.947790e-01
4.278110e+03,9.788850e-01
4.278150e+03,9.562070e-01
4.278170e+03,9.292980e-01
4.278180e+03,9.065240e-01
4.278190e+03,8.726970e-01
4.278200e+03,8.220750e-01
4.278210e+03,7.499210e-01
4.278220e+03,6.653950e-01
4.278230e+03,6.097810e-01
4.278240e+03,6.276190e-01
4.278260e+03,7.851540e-01
4.278270e+03,8.474100e-01
4.278280e+03,8.896660e-01
4.278300e+03,9.370910e-01
4.278330e+03,9.673580e-01
4.278410e+03,9.895770e-01
4.279050e+03,9.994280e-01
4.281430e+03,9.931470e-01
4.281540e+03,9.750910e-01
4.281580e+03,9.456820e-01
4.281600e+03,9.086930e-01
4.281610e+03,8.762820e-01
4.281620e+03,8.273440e-01
4.281630e+03,7.552000e-01
4.281640e+03,6.627300e-01
4.281650e+03,5.855760e-01
4.281660e+03,5.811470e-01
4.281670e+03,6.534140e-01
4.281680e+03,7.466680e-01
4.281690e+03,8.212970e-01
4.281700e+03,8.722710e-01
4.281710e+03,9.060240e-01
4.281730e+03,9.443990e-01
4.281770e+03,9.746800e-01
4.281890e+03,9.936480e-01
4.284650e+03,9.971800e-01
