T,v
4.000010e+03,9.988580e-01
4.000040e+03,9.992480e-01
4.000120e+03,9.995470e-01
4.000160e+03,9.992440e-01
4.000190e+03,9.985980e-01
4.000210e+03,9.986990e-01
4.000240e+03,9.990190e-01
4.000280e+03,9.987800e-01
4.000330e+03,9.994300e-01
4.000410e+03,9.997980e-01
4.000570e+03,9.996340e-01
4.000610e+03,9.991850e-01
4.000630e+03,9.985340e-01
4.000650e+03,9.977250e-01
4.000660e+03,9.977250e-01
4.000680e+03,9.981940e-01
4.000720e+03,9.982040e-01
4.000750e+03,9.989930e-01
4.000920e+03,9.997210e-01
4.001010e+03,9.995460e-01
4.001050e+03,9.991560e-01
4.001090e+03,9.979600e-01
4.001100e+03,9.979860e-01
4.001130e+03,9.989470e-01
4.001160e+03,9.992930e-01
4.001200e+03,9.990060e-01
4.001240e+03,9.979830e-01
4.001250e+03,9.978900e-01
4.001310e+03,9.989350e-01
4.001370e+03,9.991920e-01
4.001400e+03,9.986710e-01
4.001420e+03,9.979380e-01
4.001430e+03,9.978240e-01
4.001470e+03,9.990020e-01
4.001500e+03,9.991920e-01
4.001530e+03,9.987960e-01
4.001550e+03,9.983260e-01
4.001600e+03,9.985690e-01
4.001640e+03,9.993150e-01
4.001680e+03,9.993190e-01
4.001710e+03,9.992340e-01
4.001750e+03,9.994770e-01
4.001790e+03,9.994080e-01
4.001850e+03,9.996780e-01
4.001970e+03,9.993270e-01
4.002000e+03,9.988460e-01
4.002030e+03,9.977340e-01
4.002040e+03,9.976030e-01
4.002060e+03,9.983110e-01
4.002080e+03,9.989960e-01
4.002110e+03,9.993050e-01
4.002140e+03,9.990850e-01
4.002170e+03,9.984500e-01
4.002200e+03,9.988200e-01
4.002240e+03,9.994980e-01
4.002330e+03,9.997740e-01
4.002460e+03,9.995840e-01
4.002540e+03,9.988220e-01
4.002570e+03,9.987990e-01
4.002600e+03,9.982410e-01
4.002610e+03,9.982860e-01
4.002650e+03,9.992070e-01
4.002690e+03,9.992380e-01
4.002720e+03,9.985990e-01
4.002740e+03,9.979630e-01
4.002750e+03,9.980050e-01
4.002780e+03,9.989090e-01
4.002810e+03,9.991550e-01
4.002840e+03,9.988860e-01
4.002880e+03,9.977600e-01
4.002890e+03,9.979110e-01
4.002920e+03,9.989910e-01
4.002950e+03,9.993940e-01
4.003010e+03,9.994330e-01
4.003150e+03,9.996610e-01
4.003240e+03,9.995730e-01
4.003350e+03,9.996360e-01
4.003390e+03,9.992690e-01
4.003420e+03,9.983240e-01
4.003430e+03,9.979450e-01
4.003440e+03,9.978280e-01
4.003470e+03,9.982290e-01
4.003490e+03,9.981930e-01
4.003530e+03,9.992020e-01
4.003570e+03,9.994450e-01
4.003670e+03,9.996710e-01
4.003750e+03,9.993660e-01
4.003790e+03,9.990280e-01
4.003830e+03,9.989200e-01
4.003850e+03,9.984600e-01
