T,v
4.394670e+03,9.568270e-01
4.394710e+03,9.822910e-01
4.394870e+03,9.965930e-01
4.395120e+03,9.904590e-01
4.395170e+03,9.884650e-01
4.395350e+03,9.977040e-01
4.395630e+03,9.878320e-01
4.395680e+03,9.704450e-01
4.395710e+03,9.353840e-01
4.395730e+03,8.786980e-01
4.395750e+03,8.078760e-01
4.395760e+03,8.087330e-01
4.395790e+03,9.117460e-01
4.395810e+03,9.488470e-01
4.395840e+03,9.671530e-01
4.395970e+03,9.940740e-01
4.396520e+03,9.923360e-01
4.396580e+03,9.830860e-01
4.396680e+03,9.933200e-01
4.396790e+03,9.777920e-01
4.396820e+03,9.572560e-01
4.396840e+03,9.250800e-01
4.396860e+03,8.599190e-01
4.396870e+03,8.188560e-01
4.396880e+03,7.950670e-01
4.396890e+03,8.075310e-01
4.396910e+03,8.858010e-01
4.396930e+03,9.385210e-01
4.396960e+03,9.710520e-01
4.397040e+03,9.913230e-01
4.397210e+03,9.910260e-01
4.397270e+03,9.832640e-01
4.397380e+03,9.970970e-01
4.397830e+03,9.902750e-01
4.397900e+03,9.689580e-01
4.397950e+03,9.177430e-01
4.397960e+03,8.960030e-01
4.397990e+03,7.905510e-01
4.398000e+03,7.894440e-01
4.398010e+03,8.217460e-01
4.398030e+03,9.007350e-01
4.398050e+03,9.447990e-01
4.398080e+03,9.723700e-01
4.398170e+03,9.922520e-01
4.398540e+03,9.927920e-01
4.398600e+03,9.811090e-01
4.398700e+03,9.962490e-01
4.398960e+03,9.873430e-01
4.399020e+03,9.656690e-01
4.399050e+03,9.259020e-01
4.399060e+03,8.996130e-01
4.399090e+03,7.857940e-01
4.399100e+03,7.852860e-01
4.399110e+03,8.184450e-01
4.399130e+03,8.981430e-01
4.399150e+03,9.421960e-01
4.399180e+03,9.681620e-01
4.399260e+03,9.780130e-01
4.399350e+03,9.944400e-01
4.399820e+03,9.920210e-01
4.399880e+03,9.791730e-01
4.399970e+03,9.923740e-01
4.399990e+03,9.918480e-01
4.400000e+03,1.000000e+00
4.400020e+03,9.898980e-01
4.400100e+03,9.686920e-01
4.400130e+03,9.358020e-01
4.400150e+03,8.836860e-01
4.400170e+03,7.995220e-01
4.400180e+03,7.752260e-01
4.400190e+03,7.886840e-01
4.400210e+03,8.720120e-01
4.400230e+03,9.299050e-01
4.400260e+03,9.665200e-01
4.400330e+03,9.885130e-01
4.400450e+03,9.889200e-01
4.400500e+03,9.793590e-01
4.400590e+03,9.956620e-01
4.401030e+03,9.911690e-01
4.401110e+03,9.718250e-01
4.401160e+03,9.707920e-01
4.401190e+03,9.500860e-01
4.401210e+03,9.163090e-01
4.401220e+03,8.875310e-01
4.401240e+03,8.038220e-01
4.401250e+03,7.728010e-01
4.401260e+03,7.775200e-01
4.401290e+03,8.958490e-01
4.401310e+03,9.412780e-01
4.401340e+03,9.704050e-01
4.401420e+03,9.903470e-01
4.401640e+03,9.920880e-01
4.401700e+03,9.810570e-01
4.401800e+03,9.963560e-01
4.402160e+03,9.875950e-01
4.402220e+03,9.681360e-01
4.402250e+03,9.363970e-01
4.402270e+03,8.966000e-01
4.402290e+03,8.294810e-01
4.402300e+03,7.884090e-01
4.402310e+03,7.637390e-01
