T,v
4.035150e+03,9.721870e-01
4.035210e+03,9.949880e-01
4.035370e+03,9.912430e-01
4.035790e+03,9.973980e-01
4.036440e+03,9.938320e-01
4.036480e+03,9.872260e-01
4.036660e+03,9.964830e-01
4.037600e+03,9.944710e-01
4.037950e+03,9.954220e-01
4.038190e+03,9.938780e-01
4.038270e+03,9.882410e-01
4.038370e+03,9.987930e-01
4.038490e+03,9.969930e-01
4.038720e+03,9.936090e-01
4.038760e+03,9.911750e-01
4.038820e+03,9.909230e-01
4.039120e+03,9.982060e-01
4.039210e+03,9.950330e-01
4.039460e+03,9.939020e-01
4.039510e+03,9.857960e-01
4.039560e+03,9.888040e-01
4.039600e+03,9.926970e-01
4.039780e+03,9.951470e-01
4.039870e+03,9.903540e-01
4.040030e+03,9.987070e-01
4.040190e+03,9.938230e-01
4.040250e+03,9.842760e-01
4.040270e+03,9.728770e-01
4.040320e+03,9.950700e-01
4.040530e+03,9.968190e-01
4.040760e+03,9.902080e-01
4.040800e+03,9.665200e-01
4.040830e+03,9.228920e-01
4.040840e+03,9.296240e-01
4.040870e+03,9.743930e-01
4.040920e+03,9.931020e-01
4.041130e+03,9.934230e-01
4.042060e+03,9.982880e-01
4.042530e+03,9.952320e-01
4.043060e+03,9.949650e-01
4.043710e+03,9.938500e-01
4.043750e+03,9.789940e-01
4.043770e+03,9.587430e-01
4.043790e+03,9.677590e-01
4.043830e+03,9.918520e-01
4.044330e+03,9.991080e-01
4.044460e+03,9.971410e-01
4.044830e+03,9.947450e-01
4.044930e+03,9.959920e-01
4.045650e+03,9.951690e-01
4.045700e+03,9.839210e-01
4.045820e+03,9.959690e-01
4.046070e+03,9.928780e-01
4.046110e+03,9.842240e-01
4.046180e+03,9.974180e-01
4.046290e+03,9.913660e-01
4.046430e+03,9.952780e-01
4.046580e+03,9.915790e-01
4.046620e+03,9.802780e-01
4.046690e+03,9.973100e-01
4.047550e+03,9.938350e-01
4.048050e+03,9.954090e-01
4.048100e+03,9.961520e-01
4.048360e+03,9.926870e-01
4.048400e+03,9.875610e-01
4.048440e+03,9.793900e-01
4.048470e+03,9.763900e-01
4.048530e+03,9.960130e-01
4.048910e+03,9.927840e-01
4.048950e+03,9.804520e-01
4.049010e+03,9.942550e-01
4.049070e+03,9.837880e-01
4.049160e+03,9.946080e-01
4.049240e+03,9.833330e-01
4.049270e+03,9.744630e-01
4.049310e+03,9.798630e-01
4.049400e+03,9.710740e-01
4.049430e+03,9.567080e-01
4.049440e+03,9.463680e-01
4.049450e+03,9.466410e-01
4.049480e+03,9.796630e-01
4.049540e+03,9.912480e-01
4.049620e+03,9.783380e-01
4.049660e+03,9.622480e-01
4.049710e+03,9.837370e-01
4.049740e+03,9.714890e-01
4.049760e+03,9.549600e-01
4.049800e+03,9.770680e-01
4.049840e+03,9.686210e-01
4.049870e+03,9.298780e-01
