T,v
4.032600e+03,9.836990e-01
4.032640e+03,9.689820e-01
4.032710e+03,9.944490e-01
4.033680e+03,9.951030e-01
4.034470e+03,9.950590e-01
4.034540e+03,9.816330e-01
4.034630e+03,9.977200e-01
4.036390e+03,9.942400e-01
4.036460e+03,9.947310e-01
4.039200e+03,9.971610e-01
4.039250e+03,9.962870e-01
4.039970e+03,9.948850e-01
4.039990e+03,9.907190e-01
4.040000e+03,1.000000e+00
4.040010e+03,9.903390e-01
4.040200e+03,9.995730e-01
4.043310e+03,9.933440e-01
4.043360e+03,9.915920e-01
4.043580e+03,9.847470e-01
4.043660e+03,9.622130e-01
4.043700e+03,9.264460e-01
4.043720e+03,8.895070e-01
4.043740e+03,8.286480e-01
4.043760e+03,7.491950e-01
4.043770e+03,7.199530e-01
4.043780e+03,7.129400e-01
4.043790e+03,7.313980e-01
4.043820e+03,8.451040e-01
4.043840e+03,8.996120e-01
4.043870e+03,9.431370e-01
4.043930e+03,9.749570e-01
4.044110e+03,9.915580e-01
4.044530e+03,9.829160e-01
4.044660e+03,9.589120e-01
4.044720e+03,9.241980e-01
4.044750e+03,8.877060e-01
4.044770e+03,8.473400e-01
4.044790e+03,7.834100e-01
4.044800e+03,7.378900e-01
4.044810e+03,6.803590e-01
4.044820e+03,6.096920e-01
4.044840e+03,4.471340e-01
4.044850e+03,3.827880e-01
4.044860e+03,3.502270e-01
4.044870e+03,3.486130e-01
4.044900e+03,3.722180e-01
4.044910e+03,3.892230e-01
4.044920e+03,4.353950e-01
4.044950e+03,6.632820e-01
4.044960e+03,7.253360e-01
4.044970e+03,7.745190e-01
4.044990e+03,8.429580e-01
4.045020e+03,9.007270e-01
4.045070e+03,9.453200e-01
4.045170e+03,9.761820e-01
4.045490e+03,9.941630e-01
4.052020e+03,9.960950e-01
4.052110e+03,9.832120e-01
4.052150e+03,9.518540e-01
4.052180e+03,9.154170e-01
4.052200e+03,9.334270e-01
4.052230e+03,9.706460e-01
4.052290e+03,9.919120e-01
4.053070e+03,9.998050e-01
4.057680e+03,9.945780e-01
4.057730e+03,9.777870e-01
4.057760e+03,9.630050e-01
4.057820e+03,9.926760e-01
4.058540e+03,9.997560e-01
4.060090e+03,9.949780e-01
4.060250e+03,9.790070e-01
4.060300e+03,9.528660e-01
4.060330e+03,9.101620e-01
4.060360e+03,8.309330e-01
4.060370e+03,8.113730e-01
4.060380e+03,8.091170e-01
4.060390e+03,8.251470e-01
4.060420e+03,9.024010e-01
4.060450e+03,9.438020e-01
4.060490e+03,9.599130e-01
4.060530e+03,9.514700e-01
4.060560e+03,9.213710e-01
4.060600e+03,8.332700e-01
4.060610e+03,8.256210e-01
4.060620e+03,8.359120e-01
4.060660e+03,9.280520e-01
4.060690e+03,9.615930e-01
4.060760e+03,9.860430e-01
4.061150e+03,9.984420e-01
4.073640e+03,9.947660e-01
4.073760e+03,9.763930e-01
4.073800e+03,9.440680e-01
4.073820e+03,9.053020e-01
4.073840e+03,8.473930e-01
4.073850e+03,8.264010e-01
4.073860e+03,8.258260e-01
4.073880e+03,8.757230e-01
4.073900e+03,9.266030e-01
4.073930e+03,9.645180e-01
4.073990e+03,9.873660e-01
4.074340e+03,9.988720e-01
4.075230e+03,9.936000e-01
4.075290e+03,9.740370e-01
4.075320e+03,9.618660e-01
4.075390e+03,9.916940e-01
4.075940e+03,9.997250e-01
4.079110e+03,9.932330e-01
4.079250e+03,9.753750e-01
4.079300e+03,9.473310e-01
4.079330e+03,9.035140e-01
4.079350e+03,8.451470e-01
4.079380e+03,7.046300e-01
4.079390e+03,6.759790e-01
4.079400e+03,6.806390e-01
4.079410e+03,7.161240e-01
4.079430e+03,8.145750e-01
4.079450e+03,8.857270e-01
4.079470e+03,9.264080e-01
4.079510e+03,9.638190e-01
4.079600e+03,9.874780e-01
4.080100e+03,9.971040e-01
4.080230e+03,9.875280e-01
4.080400e+03,9.984530e-01
4.081090e+03,9.909020e-01
4.081170e+03,9.698370e-01
4.081200e+03,9.413920e-01
4.081240e+03,8.583280e-01
4.081250e+03,8.480980e-01
4.081260e+03,8.548130e-01
4.081300e+03,9.381340e-01
4.081330e+03,9.683890e-01
4.081410e+03,9.902560e-01
4.082300e+03,9.996550e-01
4.084760e+03,9.938800e-01
4.084820e+03,9.737850e-01
4.084850e+03,9.507440e-01
4.084880e+03,9.687160e-01
4.084930e+03,9.915280e-01
4.085450e+03,9.993770e-01
4.086040e+03,9.907020e-01
4.086100e+03,9.735920e-01
4.086130e+03,9.439050e-01
4.086170e+03,8.614450e-01
4.086180e+03,8.640970e-01
4.086220e+03,9.478160e-01
4.086260e+03,9.797090e-01
4.086390e+03,9.961430e-01
4.087840e+03,9.928010e-01
4.087980e+03,9.739690e-01
4.088030e+03,9.447840e-01
4.088060e+03,9.001720e-01
4.088080e+03,8.428690e-01
4.088110e+03,7.077060e-01
4.088120e+03,6.766200e-01
4.088130e+03,6.755560e-01
4.088140e+03,7.053420e-01
4.088170e+03,8.428110e-01
4.088190e+03,9.006410e-01
4.088220e+03,9.448220e-01
4.088270e+03,9.732350e-01
4.088350e+03,9.814590e-01
4.088580e+03,9.963380e-01
4.093040e+03,9.953740e-01
4.093490e+03,9.941720e-01
4.093540e+03,9.842260e-01
4.093640e+03,9.985790e-01
4.103990e+03,9.946200e-01
4.104060e+03,9.790340e-01
4.104100e+03,9.508660e-01
4.104130e+03,9.635210e-01
4.104180e+03,9.887260e-01
4.104450e+03,9.966110e-01
4.104640e+03,9.838500e-01
4.104690e+03,9.602050e-01
4.104720e+03,9.159890e-01
4.104750e+03,8.327290e-01
4.104760e+03,8.218760e-01
4.104770e+03,8.340380e-01
4.104800e+03,9.173530e-01
4.104830e+03,9.607760e-01
4.104890e+03,9.861290e-01
4.105200e+03,9.975670e-01
4.105790e+03,9.871860e-01
4.105890e+03,9.655990e-01
4.105930e+03,9.377120e-01
4.105960e+03,8.881210e-01
4.105970e+03,8.591460e-01
4.105980e+03,8.196710e-01
4.105990e+03,7.670480e-01
4.106010e+03,6.369030e-01
4.106020e+03,5.913990e-01
4.106030e+03,5.756100e-01
4.106060e+03,5.702620e-01
4.106070e+03,6.001070e-01
4.106100e+03,7.903550e-01
4.106110e+03,8.374010e-01
4.106130e+03,8.975890e-01
