T,v
7.806360e+03,9.537990e-01
7.806370e+03,9.354560e-01
7.806380e+03,9.042770e-01
7.806390e+03,8.473150e-01
7.806400e+03,7.428270e-01
7.806410e+03,5.956710e-01
7.806420e+03,5.087350e-01
7.806430e+03,5.724730e-01
7.806440e+03,7.191570e-01
7.806450e+03,8.333610e-01
7.806460e+03,8.967800e-01
7.806470e+03,9.311430e-01
7.806490e+03,9.633880e-01
7.806540e+03,9.871050e-01
7.806880e+03,9.988270e-01
7.808060e+03,9.922260e-01
7.808140e+03,9.729390e-01
7.808170e+03,9.395540e-01
7.808180e+03,9.137570e-01
7.808190e+03,8.686670e-01
7.808200e+03,7.855300e-01
7.808220e+03,4.982640e-01
7.808230e+03,4.730730e-01
7.808240e+03,5.953660e-01
7.808250e+03,7.485980e-01
7.808260e+03,8.479280e-01
7.808270e+03,9.016010e-01
7.808280e+03,9.311560e-01
7.808310e+03,9.681620e-01
7.808370e+03,9.888580e-01
7.808800e+03,9.977530e-01
7.809450e+03,9.906390e-01
7.809660e+03,9.800850e-01
7.809740e+03,9.554540e-01
7.809780e+03,9.207340e-01
7.809800e+03,8.863170e-01
7.809820e+03,8.251210e-01
7.809830e+03,7.757740e-01
7.809840e+03,7.050860e-01
7.809850e+03,6.024800e-01
7.809860e+03,4.575120e-01
7.809870e+03,2.801840e-01
7.809880e+03,1.326280e-01
7.809890e+03,7.109170e-02
7.809900e+03,8.399840e-02
7.809910e+03,1.784430e-01
7.809930e+03,5.163210e-01
7.809940e+03,6.449360e-01
7.809950e+03,7.343330e-01
7.809960e+03,7.960720e-01
7.809970e+03,8.395390e-01
7.809990e+03,8.941730e-01
7.810020e+03,9.361640e-01
7.810080e+03,9.697220e-01
7.810240e+03,9.904090e-01
7.811660e+03,9.994970e-01
7.813620e+03,9.926660e-01
7.813720e+03,9.764550e-01
7.813760e+03,9.482360e-01
7.813780e+03,9.143760e-01
7.813790e+03,8.834810e-01
7.813800e+03,8.323890e-01
7.813810e+03,7.443850e-01
7.813820e+03,5.970410e-01
7.813830e+03,4.098700e-01
7.813840e+03,2.981110e-01
7.813850e+03,3.422130e-01
7.813870e+03,6.858610e-01
7.813880e+03,7.986280e-01
7.813890e+03,8.640100e-01
7.813900e+03,9.030650e-01
7.813920e+03,9.442170e-01
7.813960e+03,9.748430e-01
7.814080e+03,9.935120e-01
7.815310e+03,9.945330e-01
7.815510e+03,9.828090e-01
7.815570e+03,9.572380e-01
7.815590e+03,9.334060e-01
7.815600e+03,9.134010e-01
7.815610e+03,8.832300e-01
7.815620e+03,8.353090e-01
7.815630e+03,7.551800e-01
7.815640e+03,6.201280e-01
7.815650e+03,4.286130e-01
7.815660e+03,2.731540e-01
7.815670e+03,2.574460e-01
7.815680e+03,3.900870e-01
7.815690e+03,5.851150e-01
7.815700e+03,7.333670e-01
7.815710e+03,8.225290e-01
7.815720e+03,8.754500e-01
7.815730e+03,9.084120e-01
7.815750e+03,9.449480e-01
7.815790e+03,9.739870e-01
7.815910e+03,9.929990e-01
7.818750e+03,9.994020e-01
7.820770e+03,9.923440e-01
7.820940e+03,9.770860e-01
7.821000e+03,9.478600e-01
7.821030e+03,9.055850e-01
7.821040e+03,8.796290e-01
7.821050e+03,8.418170e-01
7.821060e+03,7.844730e-01
7.821070e+03,6.942510e-01
7.821080e+03,5.521290e-01
7.821090e+03,3.569530e-01
7.821100e+03,1.860520e-01
7.821110e+03,1.280280e-01
7.821120e+03,1.890170e-01
7.821130e+03,3.617620e-01
7.821140e+03,5.556810e-01
7.821150e+03,6.954670e-01
7.821160e+03,7.832500e-01
7.821170e+03,8.381880e-01
7.821190e+03,9.014050e-01
7.821220e+03,9.465100e-01
7.821280e+03,9.762430e-01
7.821480e+03,9.925160e-01
7.821920e+03,9.836280e-01
7.822040e+03,9.590410e-01
7.822090e+03,9.251770e-01
7.822120e+03,8.794890e-01
7.822140e+03,8.220160e-01
7.822150e+03,7.775670e-01
7.822160e+03,7.160130e-01
7.822170e+03,6.294790e-01
7.822180e+03,5.085410e-01
7.822200e+03,1.852820e-01
7.822210e+03,7.779750e-02
7.822220e+03,4.577230e-02
7.822230e+03,6.801170e-02
7.822240e+03,1.619160e-01
7.822260e+03,4.846320e-01
7.822270e+03,6.118800e-01
7.822280e+03,7.033760e-01
7.822290e+03,7.683560e-01
7.822300e+03,8.151020e-01
7.822320e+03,8.751390e-01
7.822350e+03,9.221410e-01
7.822400e+03,9.534760e-01
7.822500e+03,9.790870e-01
7.822720e+03,9.807650e-01
7.822810e+03,9.600400e-01
7.822850e+03,9.283820e-01
7.822870e+03,8.939960e-01
7.822880e+03,8.664140e-01
7.822890e+03,8.266610e-01
7.822900e+03,7.672410e-01
7.822910e+03,6.754580e-01
7.822920e+03,5.335000e-01
7.822930e+03,3.390680e-01
7.822940e+03,1.632920e-01
7.822950e+03,9.357800e-02
7.822960e+03,1.272430e-01
7.822970e+03,2.722900e-01
7.822980e+03,4.730550e-01
7.822990e+03,6.347820e-01
7.823000e+03,7.414670e-01
7.823010e+03,8.101390e-01
7.823020e+03,8.555850e-01
7.823040e+03,9.089830e-01
7.823070e+03,9.469680e-01
7.823130e+03,9.752110e-01
7.823340e+03,9.937290e-01
7.825820e+03,9.949440e-01
7.826970e+03,9.939870e-01
7.827640e+03,9.936780e-01
7.827960e+03,9.842420e-01
7.828060e+03,9.603440e-01
7.828100e+03,9.319970e-01
7.828130e+03,8.852040e-01
7.828150e+03,8.225240e-01
7.828160e+03,7.715050e-01
7.828170e+03,6.977140e-01
7.828180e+03,5.892050e-01
7.828190e+03,4.336980e-01
7.828200e+03,2.437820e-01
7.828210e+03,9.599500e-02
7.828220e+03,4.374050e-02
7.828230e+03,5.755220e-02
7.828240e+03,1.525490e-01
7.828260e+03,5.114070e-01
7.828270e+03,6.443130e-01
7.828280e+03,7.351250e-01
7.828290e+03,7.971960e-01
7.828300e+03,8.406240e-01
7.828320e+03,8.949320e-01
7.828350e+03,9.364960e-01
7.828410e+03,9.696310e-01
7.828570e+03,9.904820e-01
7.829190e+03,9.930000e-01
7.829740e+03,9.886520e-01
7.829890e+03,9.662960e-01
7.829950e+03,9.315020e-01
7.829980e+03,8.896980e-01
7.830000e+03,8.372460e-01
7.830010e+03,7.966330e-01
7.830020e+03,7.401340e-01
7.830030e+03,6.597930e-01
7.830040e+03,5.445290e-01
7.830050e+03,3.852560e-01
7.830060e+03,2.008730e-01
7.830070e+03,6.813880e-02
7.830080e+03,2.511680e-02
7.830090e+03,3.096330e-02
7.830100e+03,9.683120e-02
7.830110e+03,2.536690e-01
7.830120e+03,4.362430e-01
7.830130e+03,5.825280e-01
7.830140e+03,6.863390e-01
7.830150e+03,7.586970e-01
7.830160e+03,8.098770e-01
7.830180e+03,8.744020e-01
7.830210e+03,9.240810e-01
7.830260e+03,9.597050e-01
7.830390e+03,9.856250e-01
7.831010e+03,9.972580e-01
7.831080e+03,9.944120e-01
7.832530e+03,9.940240e-01
7.832730e+03,9.935470e-01
7.833870e+03,9.934770e-01
7.834150e+03,9.760060e-01
7.834240e+03,9.453570e-01
7.834280e+03,9.074880e-01
7.834300e+03,8.718270e-01
7.834320e+03,8.117340e-01
7.834330e+03,7.656160e-01
7.834340e+03,7.022500e-01
7.834350e+03,6.141420e-01
7.834360e+03,4.929200e-01
7.834380e+03,1.792380e-01
7.834390e+03,7.677550e-02
7.834400e+03,4.535760e-02
7.834410e+03,6.487320e-02
7.834420e+03,1.506230e-01
7.834440e+03,4.618620e-01
7.834450e+03,5.907680e-01
7.834460e+03,6.851740e-01
7.834470e+03,7.529790e-01
7.834480e+03,8.021070e-01
7.834500e+03,8.656100e-01
7.834530e+03,9.157990e-01
7.834580e+03,9.523910e-01
7.834690e+03,9.761470e-01
7.834900e+03,9.735750e-01
7.835000e+03,9.476830e-01
7.835050e+03,9.074570e-01
7.835080e+03,8.532830e-01
7.835100e+03,7.857770e-01
7.835110e+03,7.341220e-01
7.835120e+03,6.634190e-01
7.835130e+03,5.657090e-01
7.835140e+03,4.327540e-01
7.835160e+03,1.104540e-01
7.835170e+03,2.894800e-02
7.835180e+03,1.088660e-02
7.835190e+03,1.840900e-02
7.835200e+03,7.228240e-02
7.835210e+03,2.085620e-01
7.835220e+03,3.786650e-01
7.835230e+03,5.245120e-01
7.835240e+03,6.337010e-01
7.835250e+03,7.128290e-01
7.835260e+03,7.704020e-01
7.835270e+03,8.129660e-01
7.835290e+03,8.696810e-01
7.835320e+03,9.166140e-01
7.835370e+03,9.529370e-01
7.835490e+03,9.807320e-01
7.835820e+03,9.905600e-01
7.835870e+03,9.901200e-01
7.836550e+03,9.904980e-01
7.836790e+03,9.725930e-01
7.836880e+03,9.412160e-01
7.836920e+03,9.060860e-01
7.836950e+03,8.544950e-01
7.836970e+03,7.936120e-01
7.836980e+03,7.488310e-01
7.836990e+03,6.893500e-01
7.837000e+03,6.093920e-01
7.837010e+03,5.019010e-01
7.837020e+03,3.620820e-01
7.837030e+03,2.010700e-01
7.837040e+03,6.853100e-02
7.837050e+03,1.350110e-02
7.837060e+03,4.198410e-03
7.837070e+03,8.099170e-03
7.837080e+03,4.246800e-02
7.837090e+03,1.520340e-01
7.837100e+03,3.113270e-01
7.837110e+03,4.606080e-01
7.837120e+03,5.782830e-01
7.837130e+03,6.662820e-01
7.837140e+03,7.316140e-01
7.837150e+03,7.805760e-01
7.837170e+03,8.466290e-01
7.837200e+03,9.018640e-01
7.837250e+03,9.436640e-01
7.837370e+03,9.785020e-01
7.837680e+03,9.924720e-01
7.837740e+03,9.883400e-01
7.838020e+03,9.972850e-01
7.838520e+03,9.966030e-01
7.839090e+03,9.952820e-01
7.839130e+03,9.908380e-01
7.839370e+03,9.990300e-01
7.840970e+03,9.937620e-01
7.841010e+03,9.864550e-01
7.841100e+03,9.961000e-01
7.841620e+03,9.823280e-01
7.841760e+03,9.555600e-01
7.841820e+03,9.201080e-01
7.841860e+03,8.667040e-01
7.841880e+03,8.182290e-01
7.841900e+03,7.399600e-01
7.841910e+03,6.824520e-01
7.841920e+03,6.066480e-01
7.841930e+03,5.067580e-01
7.841940e+03,3.785580e-01
7.841950e+03,2.285410e-01
7.841960e+03,9.200170e-02
7.841970e+03,2.037240e-02
7.841980e+03,4.027420e-03
7.841990e+03,3.318110e-03
7.842000e+03,1.448590e-02
7.842010e+03,7.223720e-02
7.842020e+03,1.995310e-01
7.842030e+03,3.508360e-01
